,name,repo,source
pallets,flask,https://github.com/pallets/flask,github
ytdl-org,youtube-dl,https://github.com/ytdl-org/youtube-dl,github
tensorflow,models,https://github.com/tensorflow/models,github
keras-team,keras,https://github.com/keras-team/keras,github
ansible,ansible,https://github.com/ansible/ansible,github
scikit-learn,scikit-learn,https://github.com/scikit-learn/scikit-learn,github
tiangolo,fastapi,https://github.com/tiangolo/fastapi,github
3b1b,manim,https://github.com/3b1b/manim,github
psf,requests,https://github.com/psf/requests,github
huggingface,transformers,https://github.com/huggingface/transformers,github
scrapy,scrapy,https://github.com/scrapy/scrapy,github
public-apis,public-apis,https://github.com/public-apis/public-apis,github
donnemartin,system-design-primer,https://github.com/donnemartin/system-design-primer,github
thealgorithms,python,https://github.com/thealgorithms/python,github
vinta,awesome-python,https://github.com/vinta/awesome-python,github
jackfrued,python-100-days,https://github.com/jackfrued/python-100-days,github
nvbn,thefuck,https://github.com/nvbn/thefuck,github
521xueweihan,hellogithub,https://github.com/521xueweihan/hellogithub,github
django,django,https://github.com/django/django,github
josephmisiti,awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,github
ageitgey,face_recognition,https://github.com/ageitgey/face_recognition,github
fighting41love,funnlp,https://github.com/fighting41love/funnlp,github
soimort,you-get,https://github.com/soimort/you-get,github
minimaxir,big-list-of-naughty-strings,https://github.com/minimaxir/big-list-of-naughty-strings,github
deepfakes,faceswap,https://github.com/deepfakes/faceswap,github
swisskyrepo,payloadsallthethings,https://github.com/swisskyrepo/payloadsallthethings,github
localstack,localstack,https://github.com/localstack/localstack,github
textualize,rich,https://github.com/textualize/rich,github
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,github
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,github
iperov,deepfacelab,https://github.com/iperov/deepfacelab,github
d2l-ai,d2l-zh,https://github.com/d2l-ai/d2l-zh,github
isocpp,cppcoreguidelines,https://github.com/isocpp/cppcoreguidelines,github
faif,python-patterns,https://github.com/faif/python-patterns,github
corentinj,real-time-voice-cloning,https://github.com/corentinj/real-time-voice-cloning,github
chubin,cheat.sh,https://github.com/chubin/cheat.sh,github
apachecn,ailearning,https://github.com/apachecn/ailearning,github
floodsung,deep-learning-papers-reading-roadmap,https://github.com/floodsung/deep-learning-papers-reading-roadmap,github
commaai,openpilot,https://github.com/commaai/openpilot,github
google-research,bert,https://github.com/google-research/bert,github
shadowsocks,shadowsocks,https://github.com/shadowsocks/shadowsocks,github
