,name,repo,source
3b1b,manim,https://github.com/3b1b/manim,github
Azure,azure-sdk-for-python,https://github.com/azure/azure-sdk-for-python,github
browser-user,browser-user,https://github.com/browser-use/browser-use,github
commaai,openpilot,https://github.com/commaai/openpilot,github
cvat-ai,cvat,https://github.com/cvat-ai/cvat,github
explosion,spacy,https://github.com/explosion/spacy,github
fastapi,fastapi,https://github.com/fastapi/fastapi,github
frappe,frappe,https://github.com/frappe/frappe,github
kivy,kivy,https://github.com/kivy/kivy,github
langchain-ai,langchain,https://github.com/langchain-ai/langchain,github
langchain-ai,langgraph,https://github.com/langchain-ai/langgraph,github
mitmproxy,mitmproxy,https://github.com/mitmproxy/mitmproxy,github
plotly,dash,https://github.com/plotly/dash,github
plotly,plotly.py,https://github.com/plotly/plotly.py,github
pyg-team,pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,github
pypa,pip,https://github.com/pypa/pip,github
pytest-dev,pytest,https://github.com/pytest-dev/pytest,github
yutiansut,QUANTAXIS,https://github.com/yutiansut/QUANTAXIS,github
run-llama,llama_index,https://github.com/run-llama/llama_index,github
spesmilo,electrum,https://github.com/spesmilo/electrum,github
vnpy,vnpy,https://github.com/vnpy/vnpy,github
